AQI,PM2.5,PM10,NO2,SO2,CO,O3,City_Label
105.0,57.75,113.4,87.15,119.7,1.1,99.75,3
115.0,63.25,124.2,95.45,131.1,1.21,109.25,3
102.0,56.1,110.16,84.66,116.28,1.07,96.9,3
100.0,55.0,108.0,83.0,114.0,1.05,95.0,3
99.0,54.45,106.92,82.17,112.86,1.04,94.05,3
97.0,53.35,104.76,80.51,110.58,1.02,92.15,3
115.0,63.25,124.2,95.45,131.1,1.21,109.25,3
105.0,57.75,113.4,87.15,119.7,1.1,99.75,3
108.0,59.4,116.64,89.64,123.12,1.13,102.6,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
104.0,57.2,112.32,86.32,118.56,1.09,98.8,3
93.0,51.15,100.44,77.19,106.02,0.98,88.35,3
108.0,59.4,116.64,89.64,123.12,1.13,102.6,3
115.0,63.25,124.2,95.45,131.1,1.21,109.25,3
134.0,73.7,144.72,111.22,152.76,1.41,127.3,3
102.0,56.1,110.16,84.66,116.28,1.07,96.9,3
102.0,56.1,110.16,84.66,116.28,1.07,96.9,3
122.0,67.1,131.76,101.26,139.08,1.28,115.9,3
129.0,70.95,139.32,107.07,147.06,1.35,122.55,3
127.0,69.85,137.16,105.41,144.78,1.33,120.65,3
121.0,66.55,130.68,100.43,137.94,1.27,114.95,3
116.0,63.8,125.28,96.28,132.24,1.22,110.2,3
109.0,59.95,117.72,90.47,124.26,1.14,103.55,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
105.0,57.75,113.4,87.15,119.7,1.1,99.75,3
101.0,55.55,109.08,83.83,115.14,1.06,95.95,3
101.0,55.55,109.08,83.83,115.14,1.06,95.95,3
107.0,58.85,115.56,88.81,121.98,1.12,101.65,3
117.0,64.35,126.36,97.11,133.38,1.23,111.15,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
117.0,64.35,126.36,97.11,133.38,1.23,111.15,3
92.0,50.6,99.36,76.36,104.88,0.97,87.4,3
80.0,44.0,86.4,66.4,91.2,0.84,76.0,3
100.0,55.0,108.0,83.0,114.0,1.05,95.0,3
92.0,50.6,99.36,76.36,104.88,0.97,87.4,3
122.0,67.1,131.76,101.26,139.08,1.28,115.9,3
102.0,56.1,110.16,84.66,116.28,1.07,96.9,3
74.0,40.7,79.92,61.42,84.36,0.78,70.3,3
87.0,47.85,93.96,72.21,99.18,0.91,82.65,3
101.0,55.55,109.08,83.83,115.14,1.06,95.95,3
107.0,58.85,115.56,88.81,121.98,1.12,101.65,3
132.0,72.6,142.56,109.56,150.48,1.39,125.4,3
127.0,69.85,137.16,105.41,144.78,1.33,120.65,3
132.0,72.6,142.56,109.56,150.48,1.39,125.4,3
139.0,76.45,150.12,115.37,158.46,1.46,132.05,3
119.0,65.45,128.52,98.77,135.66,1.25,113.05,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
124.0,68.2,133.92,102.92,141.36,1.3,117.8,3
115.0,63.25,124.2,95.45,131.1,1.21,109.25,3
108.0,59.4,116.64,89.64,123.12,1.13,102.6,3
94.0,51.7,101.52,78.02,107.16,0.99,89.3,3
72.0,39.6,77.76,59.76,82.08,0.76,68.4,3
97.0,53.35,104.76,80.51,110.58,1.02,92.15,3
93.0,51.15,100.44,77.19,106.02,0.98,88.35,3
86.0,47.3,92.88,71.38,98.04,0.9,81.7,3
97.0,53.35,104.76,80.51,110.58,1.02,92.15,3
77.0,42.35,83.16,63.91,87.78,0.81,73.15,3
73.0,40.15,78.84,60.59,83.22,0.77,69.35,3
101.0,55.55,109.08,83.83,115.14,1.06,95.95,3
84.0,46.2,90.72,69.72,95.76,0.88,79.8,3
70.0,38.5,75.6,58.1,79.8,0.74,66.5,3
72.0,39.6,77.76,59.76,82.08,0.76,68.4,3
66.0,36.3,71.28,54.78,75.24,0.69,62.7,3
68.0,37.4,73.44,56.44,77.52,0.71,64.6,3
60.0,33.0,64.8,49.8,68.4,0.63,57.0,3
100.0,55.0,108.0,83.0,114.0,1.05,95.0,3
87.0,47.85,93.96,72.21,99.18,0.91,82.65,3
84.0,46.2,90.72,69.72,95.76,0.88,79.8,3
107.0,58.85,115.56,88.81,121.98,1.12,101.65,3
113.0,62.15,122.04,93.79,128.82,1.19,107.35,3
121.0,66.55,130.68,100.43,137.94,1.27,114.95,3
114.0,62.7,123.12,94.62,129.96,1.2,108.3,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
88.0,48.4,95.04,73.04,100.32,0.92,83.6,3
90.0,49.5,97.2,74.7,102.6,0.95,85.5,3
92.0,50.6,99.36,76.36,104.88,0.97,87.4,3
90.0,49.5,97.2,74.7,102.6,0.95,85.5,3
103.0,56.65,111.24,85.49,117.42,1.08,97.85,3
101.0,55.55,109.08,83.83,115.14,1.06,95.95,3
117.0,64.35,126.36,97.11,133.38,1.23,111.15,3
81.0,44.55,87.48,67.23,92.34,0.85,76.95,3
100.0,55.0,108.0,83.0,114.0,1.05,95.0,3
68.0,37.4,73.44,56.44,77.52,0.71,64.6,3
68.0,37.4,73.44,56.44,77.52,0.71,64.6,3
80.0,44.0,86.4,66.4,91.2,0.84,76.0,3
86.0,47.3,92.88,71.38,98.04,0.9,81.7,3
96.0,52.8,103.68,79.68,109.44,1.01,91.2,3
105.0,57.75,113.4,87.15,119.7,1.1,99.75,3
73.0,40.15,78.84,60.59,83.22,0.77,69.35,3
78.0,42.9,84.24,64.74,88.92,0.82,74.1,3
86.0,47.3,92.88,71.38,98.04,0.9,81.7,3
104.0,57.2,112.32,86.32,118.56,1.09,98.8,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
74.0,40.7,79.92,61.42,84.36,0.78,70.3,3
78.0,42.9,84.24,64.74,88.92,0.82,74.1,3
109.0,59.95,117.72,90.47,124.26,1.14,103.55,3
78.0,42.9,84.24,64.74,88.92,0.82,74.1,3
106.0,58.3,114.48,87.98,120.84,1.11,100.7,3
95.0,52.25,102.6,78.85,108.3,1.0,90.25,3
134.0,73.7,144.72,111.22,152.76,1.41,127.3,3
105.0,57.75,113.4,87.15,119.7,1.1,99.75,3
113.0,62.15,122.04,93.79,128.82,1.19,107.35,3
92.0,50.6,99.36,76.36,104.88,0.97,87.4,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
70.0,38.5,75.6,58.1,79.8,0.74,66.5,3
77.0,42.35,83.16,63.91,87.78,0.81,73.15,3
75.0,41.25,81.0,62.25,85.5,0.79,71.25,3
77.0,42.35,83.16,63.91,87.78,0.81,73.15,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
87.0,47.85,93.96,72.21,99.18,0.91,82.65,3
108.0,59.4,116.64,89.64,123.12,1.13,102.6,3
72.0,39.6,77.76,59.76,82.08,0.76,68.4,3
85.0,46.75,91.8,70.55,96.9,0.89,80.75,3
78.0,42.9,84.24,64.74,88.92,0.82,74.1,3
74.0,40.7,79.92,61.42,84.36,0.78,70.3,3
76.0,41.8,82.08,63.08,86.64,0.8,72.2,3
60.0,33.0,64.8,49.8,68.4,0.63,57.0,3
62.0,34.1,66.96,51.46,70.68,0.65,58.9,3
55.0,30.25,59.4,45.65,62.7,0.58,52.25,3
47.0,25.85,50.76,39.01,53.58,0.49,44.65,3
52.0,28.6,56.16,43.16,59.28,0.55,49.4,3
73.0,40.15,78.84,60.59,83.22,0.77,69.35,3
80.0,44.0,86.4,66.4,91.2,0.84,76.0,3
88.0,48.4,95.04,73.04,100.32,0.92,83.6,3
85.0,46.75,91.8,70.55,96.9,0.89,80.75,3
63.0,34.65,68.04,52.29,71.82,0.66,59.85,3
66.0,36.3,71.28,54.78,75.24,0.69,62.7,3
53.0,29.15,57.24,43.99,60.42,0.56,50.35,3
44.0,24.2,47.52,36.52,50.16,0.46,41.8,3
63.0,34.65,68.04,52.29,71.82,0.66,59.85,3
48.0,26.4,51.84,39.84,54.72,0.5,45.6,3
52.0,28.6,56.16,43.16,59.28,0.55,49.4,3
50.0,27.5,54.0,41.5,57.0,0.53,47.5,3
42.0,23.1,45.36,34.86,47.88,0.44,39.9,3
47.0,25.85,50.76,39.01,53.58,0.49,44.65,3
41.0,22.55,44.28,34.03,46.74,0.43,38.95,3
53.0,29.15,57.24,43.99,60.42,0.56,50.35,3
53.0,29.15,57.24,43.99,60.42,0.56,50.35,3
56.0,30.8,60.48,46.48,63.84,0.59,53.2,3
59.0,32.45,63.72,48.97,67.26,0.62,56.05,3
52.0,28.6,56.16,43.16,59.28,0.55,49.4,3
52.0,28.6,56.16,43.16,59.28,0.55,49.4,3
48.0,26.4,51.84,39.84,54.72,0.5,45.6,3
58.0,31.9,62.64,48.14,66.12,0.61,55.1,3
58.0,31.9,62.64,48.14,66.12,0.61,55.1,3
44.0,24.2,47.52,36.52,50.16,0.46,41.8,3
62.0,34.1,66.96,51.46,70.68,0.65,58.9,3
50.0,27.5,54.0,41.5,57.0,0.53,47.5,3
48.0,26.4,51.84,39.84,54.72,0.5,45.6,3
50.0,27.5,54.0,41.5,57.0,0.53,47.5,3
46.0,25.3,49.68,38.18,52.44,0.48,43.7,3
41.0,22.55,44.28,34.03,46.74,0.43,38.95,3
35.0,19.25,37.8,29.05,39.9,0.37,33.25,3
40.0,22.0,43.2,33.2,45.6,0.42,38.0,3
57.0,31.35,61.56,47.31,64.98,0.6,54.15,3
36.0,19.8,38.88,29.88,41.04,0.38,34.2,3
36.0,19.8,38.88,29.88,41.04,0.38,34.2,3
41.0,22.55,44.28,34.03,46.74,0.43,38.95,3
51.0,28.05,55.08,42.33,58.14,0.54,48.45,3
42.0,23.1,45.36,34.86,47.88,0.44,39.9,3
50.0,27.5,54.0,41.5,57.0,0.53,47.5,3
69.0,37.95,74.52,57.27,78.66,0.72,65.55,3
66.0,36.3,71.28,54.78,75.24,0.69,62.7,3
57.0,31.35,61.56,47.31,64.98,0.6,54.15,3
56.0,30.8,60.48,46.48,63.84,0.59,53.2,3
52.0,28.6,56.16,43.16,59.28,0.55,49.4,3
53.0,29.15,57.24,43.99,60.42,0.56,50.35,3
56.0,30.8,60.48,46.48,63.84,0.59,53.2,3
76.0,41.8,82.08,63.08,86.64,0.8,72.2,3
88.0,48.4,95.04,73.04,100.32,0.92,83.6,3
76.0,41.8,82.08,63.08,86.64,0.8,72.2,3
77.0,42.35,83.16,63.91,87.78,0.81,73.15,3
75.0,41.25,81.0,62.25,85.5,0.79,71.25,3
95.0,52.25,102.6,78.85,108.3,1.0,90.25,3
90.0,49.5,97.2,74.7,102.6,0.95,85.5,3
64.0,35.2,69.12,53.12,72.96,0.67,60.8,3
81.0,44.55,87.48,67.23,92.34,0.85,76.95,3
55.0,30.25,59.4,45.65,62.7,0.58,52.25,3
60.0,33.0,64.8,49.8,68.4,0.63,57.0,3
50.0,27.5,54.0,41.5,57.0,0.53,47.5,3
50.0,27.5,54.0,41.5,57.0,0.53,47.5,3
46.0,25.3,49.68,38.18,52.44,0.48,43.7,3
39.0,21.45,42.12,32.37,44.46,0.41,37.05,3
29.0,15.95,31.32,24.07,33.06,0.3,27.55,3
45.0,24.75,48.6,37.35,51.3,0.47,42.75,3
71.0,39.05,76.68,58.93,80.94,0.75,67.45,3
36.0,19.8,38.88,29.88,41.04,0.38,34.2,3
45.0,24.75,48.6,37.35,51.3,0.47,42.75,3
37.0,20.35,39.96,30.71,42.18,0.39,35.15,3
47.0,25.85,50.76,39.01,53.58,0.49,44.65,3
51.0,28.05,55.08,42.33,58.14,0.54,48.45,3
26.0,14.3,28.08,21.58,29.64,0.27,24.7,3
30.0,16.5,32.4,24.9,34.2,0.32,28.5,3
45.0,24.75,48.6,37.35,51.3,0.47,42.75,3
51.0,28.05,55.08,42.33,58.14,0.54,48.45,3
56.0,30.8,60.48,46.48,63.84,0.59,53.2,3
60.0,33.0,64.8,49.8,68.4,0.63,57.0,3
60.0,33.0,64.8,49.8,68.4,0.63,57.0,3
61.0,33.55,65.88,50.63,69.54,0.64,57.95,3
64.0,35.2,69.12,53.12,72.96,0.67,60.8,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
84.0,46.2,90.72,69.72,95.76,0.88,79.8,3
69.0,37.95,74.52,57.27,78.66,0.72,65.55,3
49.0,26.95,52.92,40.67,55.86,0.51,46.55,3
48.0,26.4,51.84,39.84,54.72,0.5,45.6,3
52.0,28.6,56.16,43.16,59.28,0.55,49.4,3
71.0,39.05,76.68,58.93,80.94,0.75,67.45,3
73.0,40.15,78.84,60.59,83.22,0.77,69.35,3
83.0,45.65,89.64,68.89,94.62,0.87,78.85,3
46.0,25.3,49.68,38.18,52.44,0.48,43.7,3
83.0,45.65,89.64,68.89,94.62,0.87,78.85,3
87.0,47.85,93.96,72.21,99.18,0.91,82.65,3
77.0,42.35,83.16,63.91,87.78,0.81,73.15,3
70.0,38.5,75.6,58.1,79.8,0.74,66.5,3
86.0,47.3,92.88,71.38,98.04,0.9,81.7,3
83.0,45.65,89.64,68.89,94.62,0.87,78.85,3
89.0,48.95,96.12,73.87,101.46,0.93,84.55,3
98.0,53.9,105.84,81.34,111.72,1.03,93.1,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
66.0,36.3,71.28,54.78,75.24,0.69,62.7,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
81.0,44.55,87.48,67.23,92.34,0.85,76.95,3
89.0,48.95,96.12,73.87,101.46,0.93,84.55,3
56.0,30.8,60.48,46.48,63.84,0.59,53.2,3
68.0,37.4,73.44,56.44,77.52,0.71,64.6,3
61.0,33.55,65.88,50.63,69.54,0.64,57.95,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
109.0,59.95,117.72,90.47,124.26,1.14,103.55,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
94.0,51.7,101.52,78.02,107.16,0.99,89.3,3
101.0,55.55,109.08,83.83,115.14,1.06,95.95,3
122.0,67.1,131.76,101.26,139.08,1.28,115.9,3
128.0,70.4,138.24,106.24,145.92,1.34,121.6,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
75.0,41.25,81.0,62.25,85.5,0.79,71.25,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
84.0,46.2,90.72,69.72,95.76,0.88,79.8,3
116.0,63.8,125.28,96.28,132.24,1.22,110.2,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
126.0,69.3,136.08,104.58,143.64,1.32,119.7,3
126.0,69.3,136.08,104.58,143.64,1.32,119.7,3
131.0,72.05,141.48,108.73,149.34,1.38,124.45,3
117.0,64.35,126.36,97.11,133.38,1.23,111.15,3
117.0,64.35,126.36,97.11,133.38,1.23,111.15,3
121.0,66.55,130.68,100.43,137.94,1.27,114.95,3
107.0,58.85,115.56,88.81,121.98,1.12,101.65,3
92.0,50.6,99.36,76.36,104.88,0.97,87.4,3
96.0,52.8,103.68,79.68,109.44,1.01,91.2,3
70.0,38.5,75.6,58.1,79.8,0.74,66.5,3
69.0,37.95,74.52,57.27,78.66,0.72,65.55,3
71.0,39.05,76.68,58.93,80.94,0.75,67.45,3
106.0,58.3,114.48,87.98,120.84,1.11,100.7,3
115.0,63.25,124.2,95.45,131.1,1.21,109.25,3
124.0,68.2,133.92,102.92,141.36,1.3,117.8,3
122.0,67.1,131.76,101.26,139.08,1.28,115.9,3
126.0,69.3,136.08,104.58,143.64,1.32,119.7,3
125.0,68.75,135.0,103.75,142.5,1.31,118.75,3
106.0,58.3,114.48,87.98,120.84,1.11,100.7,3
120.0,66.0,129.6,99.6,136.8,1.26,114.0,3
113.0,62.15,122.04,93.79,128.82,1.19,107.35,3
107.0,58.85,115.56,88.81,121.98,1.12,101.65,3
115.0,63.25,124.2,95.45,131.1,1.21,109.25,3
120.0,66.0,129.6,99.6,136.8,1.26,114.0,3
106.0,58.3,114.48,87.98,120.84,1.11,100.7,3
76.0,41.8,82.08,63.08,86.64,0.8,72.2,3
55.0,30.25,59.4,45.65,62.7,0.58,52.25,3
54.0,29.7,58.32,44.82,61.56,0.57,51.3,3
63.0,34.65,68.04,52.29,71.82,0.66,59.85,3
83.0,45.65,89.64,68.89,94.62,0.87,78.85,3
97.0,53.35,104.76,80.51,110.58,1.02,92.15,3
112.0,61.6,120.96,92.96,127.68,1.18,106.4,3
120.0,66.0,129.6,99.6,136.8,1.26,114.0,3
135.0,74.25,145.8,112.05,153.9,1.42,128.25,3
128.0,70.4,138.24,106.24,145.92,1.34,121.6,3
130.0,71.5,140.4,107.9,148.2,1.37,123.5,3
133.0,73.15,143.64,110.39,151.62,1.4,126.35,3
142.0,78.1,153.36,117.86,161.88,1.49,134.9,3
129.0,70.95,139.32,107.07,147.06,1.35,122.55,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
64.0,35.2,69.12,53.12,72.96,0.67,60.8,3
57.0,31.35,61.56,47.31,64.98,0.6,54.15,3
54.0,29.7,58.32,44.82,61.56,0.57,51.3,3
94.0,51.7,101.52,78.02,107.16,0.99,89.3,3
136.0,74.8,146.88,112.88,155.04,1.43,129.2,3
130.0,71.5,140.4,107.9,148.2,1.37,123.5,3
138.0,75.9,149.04,114.54,157.32,1.45,131.1,3
149.0,81.95,160.92,123.67,169.86,1.56,141.55,3
138.0,75.9,149.04,114.54,157.32,1.45,131.1,3
136.0,74.8,146.88,112.88,155.04,1.43,129.2,3
139.0,76.45,150.12,115.37,158.46,1.46,132.05,3
143.0,78.65,154.44,118.69,163.02,1.5,135.85,3
148.0,81.4,159.84,122.84,168.72,1.55,140.6,3
136.0,74.8,146.88,112.88,155.04,1.43,129.2,3
137.0,75.35,147.96,113.71,156.18,1.44,130.15,3
142.0,78.1,153.36,117.86,161.88,1.49,134.9,3
144.0,79.2,155.52,119.52,164.16,1.51,136.8,3
158.0,86.9,170.64,131.14,180.12,1.66,150.1,3
140.0,77.0,151.2,116.2,159.6,1.47,133.0,3
122.0,67.1,131.76,101.26,139.08,1.28,115.9,3
108.0,59.4,116.64,89.64,123.12,1.13,102.6,3
147.0,80.85,158.76,122.01,167.58,1.54,139.65,3
160.0,88.0,172.8,132.8,182.4,1.68,152.0,3
162.0,89.1,174.96,134.46,184.68,1.7,153.9,3
156.0,85.8,168.48,129.48,177.84,1.64,148.2,3
155.0,85.25,167.4,128.65,176.7,1.63,147.25,3
144.0,79.2,155.52,119.52,164.16,1.51,136.8,3
148.0,81.4,159.84,122.84,168.72,1.55,140.6,3
155.0,85.25,167.4,128.65,176.7,1.63,147.25,3
153.0,84.15,165.24,126.99,174.42,1.61,145.35,3
141.0,77.55,152.28,117.03,160.74,1.48,133.95,3
49.0,26.95,52.92,40.67,55.86,0.51,46.55,3
58.0,31.9,62.64,48.14,66.12,0.61,55.1,3
78.0,42.9,84.24,64.74,88.92,0.82,74.1,3
108.0,59.4,116.64,89.64,123.12,1.13,102.6,3
136.0,74.8,146.88,112.88,155.04,1.43,129.2,3
159.0,87.45,171.72,131.97,181.26,1.67,151.05,3
158.0,86.9,170.64,131.14,180.12,1.66,150.1,3
150.0,82.5,162.0,124.5,171.0,1.58,142.5,3
136.0,74.8,146.88,112.88,155.04,1.43,129.2,3
131.0,72.05,141.48,108.73,149.34,1.38,124.45,3
129.0,70.95,139.32,107.07,147.06,1.35,122.55,3
133.0,73.15,143.64,110.39,151.62,1.4,126.35,3
143.0,78.65,154.44,118.69,163.02,1.5,135.85,3
131.0,72.05,141.48,108.73,149.34,1.38,124.45,3
132.0,72.6,142.56,109.56,150.48,1.39,125.4,3
141.0,77.55,152.28,117.03,160.74,1.48,133.95,3
144.0,79.2,155.52,119.52,164.16,1.51,136.8,3
147.0,80.85,158.76,122.01,167.58,1.54,139.65,3
145.0,79.75,156.6,120.35,165.3,1.52,137.75,3
155.0,85.25,167.4,128.65,176.7,1.63,147.25,3
153.0,84.15,165.24,126.99,174.42,1.61,145.35,3
151.0,83.05,163.08,125.33,172.14,1.59,143.45,3
148.0,81.4,159.84,122.84,168.72,1.55,140.6,3
146.0,80.3,157.68,121.18,166.44,1.53,138.7,3
152.0,83.6,164.16,126.16,173.28,1.6,144.4,3
158.0,86.9,170.64,131.14,180.12,1.66,150.1,3
147.0,80.85,158.76,122.01,167.58,1.54,139.65,3
147.0,80.85,158.76,122.01,167.58,1.54,139.65,3
148.0,81.4,159.84,122.84,168.72,1.55,140.6,3
154.0,84.7,166.32,127.82,175.56,1.62,146.3,3
146.0,80.3,157.68,121.18,166.44,1.53,138.7,3
146.0,80.3,157.68,121.18,166.44,1.53,138.7,3
154.0,84.7,166.32,127.82,175.56,1.62,146.3,3
152.0,83.6,164.16,126.16,173.28,1.6,144.4,3
130.0,71.5,140.4,107.9,148.2,1.37,123.5,3
94.0,51.7,101.52,78.02,107.16,0.99,89.3,3
112.0,61.6,120.96,92.96,127.68,1.18,106.4,3
111.0,61.05,119.88,92.13,126.54,1.17,105.45,3
84.0,46.2,90.72,69.72,95.76,0.88,79.8,3
67.0,36.85,72.36,55.61,76.38,0.7,63.65,3
83.0,45.65,89.64,68.89,94.62,0.87,78.85,3
142.0,78.1,153.36,117.86,161.88,1.49,134.9,3
134.0,73.7,144.72,111.22,152.76,1.41,127.3,3
105.0,57.75,113.4,87.15,119.7,1.1,99.75,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
130.0,71.5,140.4,107.9,148.2,1.37,123.5,3
119.0,65.45,128.52,98.77,135.66,1.25,113.05,3
122.0,67.1,131.76,101.26,139.08,1.28,115.9,3
116.0,63.8,125.28,96.28,132.24,1.22,110.2,3
117.0,64.35,126.36,97.11,133.38,1.23,111.15,3
134.0,73.7,144.72,111.22,152.76,1.41,127.3,3
118.0,64.9,127.44,97.94,134.52,1.24,112.1,3
117.0,64.35,126.36,97.11,133.38,1.23,111.15,3
132.0,72.6,142.56,109.56,150.48,1.39,125.4,3
130.0,71.5,140.4,107.9,148.2,1.37,123.5,3
114.0,62.7,123.12,94.62,129.96,1.2,108.3,3
128.0,70.4,138.24,106.24,145.92,1.34,121.6,3
132.0,72.6,142.56,109.56,150.48,1.39,125.4,3
130.0,71.5,140.4,107.9,148.2,1.37,123.5,3
96.0,52.8,103.68,79.68,109.44,1.01,91.2,3
92.0,50.6,99.36,76.36,104.88,0.97,87.4,3
105.0,57.75,113.4,87.15,119.7,1.1,99.75,3
116.0,63.8,125.28,96.28,132.24,1.22,110.2,3
122.0,67.1,131.76,101.26,139.08,1.28,115.9,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
82.0,45.1,88.56,68.06,93.48,0.86,77.9,3
94.0,51.7,101.52,78.02,107.16,0.99,89.3,3
125.0,68.75,135.0,103.75,142.5,1.31,118.75,3
105.0,57.75,113.4,87.15,119.7,1.1,99.75,3
101.0,55.55,109.08,83.83,115.14,1.06,95.95,3
120.0,66.0,129.6,99.6,136.8,1.26,114.0,3
109.0,59.95,117.72,90.47,124.26,1.14,103.55,3
111.0,61.05,119.88,92.13,126.54,1.17,105.45,3
119.0,65.45,128.52,98.77,135.66,1.25,113.05,3
74.0,40.7,79.92,61.42,84.36,0.78,70.3,3
68.0,37.4,73.44,56.44,77.52,0.71,64.6,3
77.0,42.35,83.16,63.91,87.78,0.81,73.15,3
126.0,69.3,136.08,104.58,143.64,1.32,119.7,3
135.0,74.25,145.8,112.05,153.9,1.42,128.25,3
139.0,76.45,150.12,115.37,158.46,1.46,132.05,3
144.0,79.2,155.52,119.52,164.16,1.51,136.8,3
114.0,62.7,123.12,94.62,129.96,1.2,108.3,3
101.0,55.55,109.08,83.83,115.14,1.06,95.95,3
87.0,47.85,93.96,72.21,99.18,0.91,82.65,3
96.0,52.8,103.68,79.68,109.44,1.01,91.2,3
103.0,56.65,111.24,85.49,117.42,1.08,97.85,3
99.0,54.45,106.92,82.17,112.86,1.04,94.05,3
106.0,58.3,114.48,87.98,120.84,1.11,100.7,3
96.0,52.8,103.68,79.68,109.44,1.01,91.2,3
95.0,52.25,102.6,78.85,108.3,1.0,90.25,3
94.0,51.7,101.52,78.02,107.16,0.99,89.3,3
70.0,38.5,75.6,58.1,79.8,0.74,66.5,3
90.0,49.5,97.2,74.7,102.6,0.95,85.5,3
93.0,51.15,100.44,77.19,106.02,0.98,88.35,3
76.0,41.8,82.08,63.08,86.64,0.8,72.2,3
94.0,51.7,101.52,78.02,107.16,0.99,89.3,3
113.0,62.15,122.04,93.79,128.82,1.19,107.35,3
105.0,57.75,113.4,87.15,119.7,1.1,99.75,3
113.0,62.15,122.04,93.79,128.82,1.19,107.35,3
104.0,57.2,112.32,86.32,118.56,1.09,98.8,3
120.0,66.0,129.6,99.6,136.8,1.26,114.0,3
128.0,70.4,138.24,106.24,145.92,1.34,121.6,3
130.0,71.5,140.4,107.9,148.2,1.37,123.5,3
123.0,67.65,132.84,102.09,140.22,1.29,116.85,3
99.0,54.45,106.92,82.17,112.86,1.04,94.05,3
113.0,62.15,122.04,93.79,128.82,1.19,107.35,3
104.0,57.2,112.32,86.32,118.56,1.09,98.8,3
98.0,53.9,105.84,81.34,111.72,1.03,93.1,3
85.0,46.75,91.8,70.55,96.9,0.89,80.75,3
85.0,46.75,91.8,70.55,96.9,0.89,80.75,3
73.0,40.15,78.84,60.59,83.22,0.77,69.35,3
77.0,42.35,83.16,63.91,87.78,0.81,73.15,3
88.0,48.4,95.04,73.04,100.32,0.92,83.6,3
